Compound,Date,Negative,Neutral,News_Org,Positive,Tweets Ago
0.0,Wed Jul 11 18:06:07 +0000 2018,1.0,0.0,BBC,0.0,92
0.0,Wed Jul 11 18:00:11 +0000 2018,1.0,0.0,BBC,0.0,93
0.0,Wed Jul 11 17:57:05 +0000 2018,1.0,0.0,BBC,0.0,94
0.0,Wed Jul 11 17:01:04 +0000 2018,1.0,0.0,BBC,0.0,95
0.0,Wed Jul 11 16:01:05 +0000 2018,1.0,0.0,BBC,0.0,96
0.0,Wed Jul 11 13:03:06 +0000 2018,1.0,0.0,BBC,0.0,97
0.5994,Wed Jul 11 11:32:03 +0000 2018,0.692,0.0,BBC,0.308,98
0.3612,Wed Jul 11 11:02:02 +0000 2018,0.894,0.0,BBC,0.106,99
0.0,Wed Jul 11 09:53:20 +0000 2018,1.0,0.0,BBC,0.0,100
0.6514,Thu Jul 12 01:01:24 +0000 2018,0.718,0.0,CBS,0.282,1
0.5562,Wed Jul 11 21:44:45 +0000 2018,0.826,0.0,CBS,0.174,2
0.5411,Wed Jul 11 19:09:34 +0000 2018,0.857,0.0,CBS,0.143,3
0.0,Mon Jul 09 23:55:07 +0000 2018,1.0,0.0,CBS,0.0,4
-0.3818,Mon Jul 09 18:53:34 +0000 2018,0.894,0.106,CBS,0.0,5
0.3182,Mon Jul 09 18:09:00 +0000 2018,0.897,0.0,CBS,0.103,6
0.4019,Fri Jul 06 22:22:55 +0000 2018,0.847,0.0,CBS,0.153,7
0.8622,Fri Jul 06 18:26:37 +0000 2018,0.61,0.0,CBS,0.39,8
0.3612,Thu Jul 05 21:12:17 +0000 2018,0.898,0.0,CBS,0.102,9
0.3182,Mon Jul 02 21:13:11 +0000 2018,0.892,0.0,CBS,0.108,10
0.0,Mon Jul 02 20:47:32 +0000 2018,1.0,0.0,CBS,0.0,11
0.0,Mon Jul 02 17:27:06 +0000 2018,1.0,0.0,CBS,0.0,12
0.5411,Mon Jul 02 17:00:02 +0000 2018,0.741,0.0,CBS,0.259,13
0.0,Wed Jun 27 20:31:32 +0000 2018,1.0,0.0,CBS,0.0,14
0.7574,Wed Jun 27 14:00:01 +0000 2018,0.711,0.0,CBS,0.289,15
0.5574,Mon Jun 25 18:20:25 +0000 2018,0.796,0.0,CBS,0.204,16
0.1867,Fri Jun 22 21:19:06 +0000 2018,0.902,0.0,CBS,0.098,17
0.4199,Fri Jun 22 18:33:53 +0000 2018,0.811,0.0,CBS,0.189,18
